product_id,slug,category,source_url,matched_terms,matched_in,fields_withheld,excerpt
22,orthosash-capsule,supplements,https://biosash.com/product/orthosash-capsule/,arthritis; rheumatism; gout; treatment of,benefits,description; benefits; key_claims,"The selection of herbs in Orthosash is based upon a long standing use as a traditional solution to promote joint health, control natural inflammatory responses within the body and maintain healthy nerve and tissue functi"
17,immunosash-capsules-30-capsules,wellness,https://biosash.com/product/immunosash-capsules-30-capsules/,infection,description,description; key_claims,"Immunosash Capsule: Advanced Immunity Support with Sea Buckthorn Seed Oil, Sea buckthorn Berry Oil & Turmeric Oil Powerful Herbal Formula for Stronger Immunity & Vitality Immunosash Capsule is a scientifically formulated"
9,black-seed-oil-capsule,supplements,https://biosash.com/product/black-seed-oil-capsule/,cholesterol; asthma,benefits,description; benefits; key_claims,"<p>Also known as the 'Black Cumin' seed oil, it is extracted from the seeds of Nigella Sativa, which is a plant native to the South and Southwest Asia. Its benefits have been recognized by the Ancient Egyptians and today"
20,nonisash,supplements,https://biosash.com/product/nonisash/,diabetes; tumor; depression; infection; treat,description,description; benefits,<p>The Noni Plant Is Small Shrub Native To Asia & Australia.<br /> Noni is also known as Morinda And Indian Mulberry. Noni Fruit Has Been Used For Thousand of Year to Help Treat Varity of Health Problem Such As Diabetes 
28,sea-buckthorn-oil-capsule,supplements,https://biosash.com/product/sea-buckthorn-oil-capsule/,blood pressure; heart disease,benefits,description; benefits; key_claims,"This capsule is prepared with the supercritical CO2 extracted seed oil of certified organic sea buckthorn berries. This oil has all essential fatty acids Omega 3, 6, 7 and 9, which are essential for a healthy immune syst"
29,spirusash-capsule,supplements,https://biosash.com/product/spirusash-capsule/,diabetes; blood pressure; cholesterol; depression; heart disease; treating,benefits,description; benefits,"<p>Research suggests that spirulina has antioxidant and inflammation fighting properties, as well as the ability to help regulate the immune system. It also contains thiamin, riboflavin, niacin, folate and vitamin B-6, A"
32,whegasash-tablets,supplements,https://biosash.com/product/whegasash-tablets/,ulcer; piles; hemorrhoid; constipation; treat,description,description,"Wheatgrass Packs a Powerhouse of nutrients. An Ounce Of Wheatgrass Contains 8gm Of Protein And Dietary fiber Each, 240% OF RDA OF Vitamin A, 93% of The RDA of Vitamin C, 356% OF RDA OF iron And 12% OF The RDA of Calcium,"
52,seabuckthorn-trimfit-juice,juices-drinks,https://biosash.com/product/seabuckthorn-trimfit-juice/,obesity; cholesterol,description; benefits,description; benefits; key_claims; how_to_use,Obesity is a major problem and it may result in a number of diseases. Normally diet suppressors and various solutions to this problem fail to achieve results and also produce weakness in the body. This sea buckthorn juic
41,seabuckthorn-empower-x-juice,juices-drinks,https://biosash.com/product/seabuckthorn-empower-x-juice/,erectile dysfunction; libido; sexual weakness; premature ejaculation; aphrodisiac; infertility,description; benefits,description; benefits; key_claims; how_to_use,<p>In science it is said that the basic purpose of life is procreation and the desire to live depends on attraction and sexual desire. This sea buckthorn juice has been formulated with these objectives in mind with well 
43,seabuckthorn-ferrosash-juice,juices-drinks,https://biosash.com/product/seabuckthorn-ferrosash-juice/,anaemia,description,description; benefits; key_claims; how_to_use,"Poor dietary lifestyle problems today affect the proper functioning of the body commonly leading low to levels of haemoglobin in blood – anaemia and other issues including weakness , poor growth , low immunity and succep"
51,seabuckthorn-stressaid-juice,juices-drinks,https://biosash.com/product/seabuckthorn-stressaid-juice/,depression,benefits,description; benefits; how_to_use,<p>STRESS is a major lifestyle induced problem which today affects the proper functioning of the body which may lead to severe complications . This special formulation based on sea buckthorn and Indian herbs well known i
44,seabuckthorn-giloysash-juice,juices-drinks,https://biosash.com/product/seabuckthorn-giloysash-juice/,cancer,description,description; benefits; key_claims; how_to_use,"<p>Stress and poor lifestyle induced problems including toxins, pollution in air , food and water , today adversely impact the health of your organs and body and affects the proper functioning of the body leading to poor"
40,seabuckthorn-empower-juice,juices-drinks,https://biosash.com/product/seabuckthorn-empower-juice/,libido; sexual weakness; sexual dysfunction; aphrodisiac; erectile dysfunction; premature ejaculation,benefits,benefits; key_claims; how_to_use,"This sea buckthorn juice is prepared with certified organic sea buckthorn berries and also formulated with well known ayurvedic herbs ashwagandha, safed musli, konch beej and shatavari extracts, which helps to improve se"
70,coconut-natural-face-wash,skin-care,https://biosash.com/product/coconut-natural-face-wash/,infection,description,description,1. Natural Coconut Essential Oil Coconut oil is a highly saturated oil that is traditionally made by extracting the oil from raw coconuts or dried coconut kernels. The lauric acid found in coconut oil gives it antimicrob
64,milk-chocolate-cream-detangle-shampoo,hair-care,https://biosash.com/product/milk-chocolate-cream-detangle-shampoo/,infection,description,description,"1. Aloe Vera Extract It provides a protective layer to the skin which helps retain moisture. Aloe is also rich in antioxidants and minerals which can help speed healing. Its antibacterial, antiseptic and anti-inflammator"
42,seabuckthorn-femsash-juice,juices-drinks,https://biosash.com/product/seabuckthorn-femsash-juice/,menopause; remedy; libido,description; benefits,description; benefits; how_to_use,"Is is observed that women suffer from various unexplained problems related to their menstrual cycle , or menopause or even puberty and do not have any proper recourse to any natural remedy. This sea buckthorn juice has b"
39,seabuckthorn-digestosash-juice,juices-drinks,https://biosash.com/product/seabuckthorn-digestosash-juice/,ulcer; obesity; treat; constipation,description; benefits,description; benefits; how_to_use,"In India , indigestion is a rampant issue due to poor dietary lifestyle and hygiene problems today which affect the proper digestive functioning of the body commonly leading to other issues including weakness , poor grow"
96,tulsi-haldi-face-wash,skin-care,https://biosash.com/product/tulsi-haldi-face-wash/,infection; treat,benefits,description; benefits,"A face wash made with Extracts of Tulsi and Haldi, which completely cleanses and gives clear skin, leaves the skin moisturized, soft and supple."
133,neem-tulsi-bath,bath-body,https://biosash.com/product/neem-tulsi-bath/,infection,description,description,<p>Neem and Tulsi essential oils have anti bacterial properties and thus Skin gets antiseptic and anti bacterial effects. Regular use of this soap protects the skin from infections. </p>
149,liquid-wash-intimate-women,personal-care,https://biosash.com/product/liquid-wash-intimate-women/,treat; therapeutic,benefits,description; benefits,"This Liquid Wash-Intimate Women is enriched with organic sea buckthorn berry oil, Tea Tree Oil, Neem Extract and Grapefruit Extract,"
148,dentosash,personal-care,https://biosash.com/product/dentosash/,healing of,benefits,description; benefits,Dentosash Toothgel is a unique formulation of Himalayan sea buckthorn oil and natural herbal extracts that provide long lasting and complete oral care to gums & teeth. Dentosash not only cleans teeth but also bring fresh
